i = 0 , a = 23 , b = 37 , c = 60 
i = 1 , a = 6 , b = 34 , c = 40 
i = 2 , a = 17 , b = 10 , c = 27 
i = 3 , a = 35 , b = 26 , c = 61 
i = 4 , a = 33 , b = 4 , c = 37 
i = 5 , a = 15 , b = 17 , c = 32 
i = 6 , a = 26 , b = 14 , c = 40 
i = 7 , a = 12 , b = 8 , c = 20 
i = 8 , a = 9 , b = 5 , c = 14 
i = 9 , a = 21 , b = 38 , c = 59 
i = 10 , a = 2 , b = 32 , c = 34 
i = 11 , a = 27 , b = 26 , c = 53 
i = 12 , a = 10 , b = 20 , c = 30 
i = 13 , a = 19 , b = 26 , c = 45 
i = 14 , a = 3 , b = 6 , c = 9 
i = 15 , a = 6 , b = 34 , c = 40 
i = 16 , a = 20 , b = 36 , c = 56 
i = 17 , a = 26 , b = 32 , c = 58 
i = 18 , a = 12 , b = 18 , c = 30 
i = 19 , a = 16 , b = 9 , c = 25 
i = 20 , a = 11 , b = 26 , c = 37 
i = 21 , a = 8 , b = 10 , c = 18 
i = 22 , a = 7 , b = 7 , c = 14 
i = 23 , a = 29 , b = 10 , c = 39 
i = 24 , a = 22 , b = 11 , c = 33 
i = 25 , a = 10 , b = 0 , c = 10 
i = 26 , a = 22 , b = 31 , c = 53 
i = 27 , a = 3 , b = 33 , c = 36 
i = 28 , a = 27 , b = 17 , c = 44 
i = 29 , a = 15 , b = 27 , c = 42 
i = 30 , a = 9 , b = 32 , c = 41 
i = 31 , a = 2 , b = 6 , c = 8 
i = 32 , a = 22 , b = 14 , c = 36 
i = 33 , a = 18 , b = 35 , c = 53 
i = 34 , a = 29 , b = 32 , c = 61 
i = 35 , a = 7 , b = 10 , c = 17 
i = 36 , a = 33 , b = 12 , c = 45 
i = 37 , a = 16 , b = 39 , c = 55 
i = 38 , a = 11 , b = 10 , c = 21 
i = 39 , a = 2 , b = 9 , c = 11 
i = 40 , a = 29 , b = 29 , c = 58 
i = 41 , a = 13 , b = 34 , c = 47 
i = 42 , a = 21 , b = 35 , c = 56 
i = 43 , a = 39 , b = 1 , c = 40 
i = 44 , a = 24 , b = 20 , c = 44 
i = 45 , a = 17 , b = 33 , c = 50 
i = 46 , a = 38 , b = 27 , c = 65 
i = 47 , a = 4 , b = 8 , c = 12 
i = 48 , a = 35 , b = 18 , c = 53 
i = 49 , a = 10 , b = 6 , c = 16 
i = 50 , a = 13 , b = 10 , c = 23 
i = 51 , a = 6 , b = 4 , c = 10 
i = 52 , a = 11 , b = 16 , c = 27 
i = 53 , a = 20 , b = 17 , c = 37 
i = 54 , a = 36 , b = 6 , c = 42 
i = 55 , a = 33 , b = 20 , c = 53 
i = 56 , a = 22 , b = 9 , c = 31 
i = 57 , a = 10 , b = 37 , c = 47 
i = 58 , a = 36 , b = 5 , c = 41 
i = 59 , a = 1 , b = 19 , c = 20 
i = 60 , a = 25 , b = 17 , c = 42 
i = 61 , a = 5 , b = 38 , c = 43 
i = 62 , a = 4 , b = 25 , c = 29 
i = 63 , a = 7 , b = 23 , c = 30 
i = 64 , a = 16 , b = 33 , c = 49 
i = 65 , a = 25 , b = 18 , c = 43 
i = 66 , a = 6 , b = 33 , c = 39 
i = 67 , a = 9 , b = 37 , c = 46 
i = 68 , a = 33 , b = 9 , c = 42 
i = 69 , a = 17 , b = 3 , c = 20 
i = 70 , a = 4 , b = 7 , c = 11 
i = 71 , a = 15 , b = 38 , c = 53 
i = 72 , a = 22 , b = 37 , c = 59 
i = 73 , a = 25 , b = 34 , c = 59 
i = 74 , a = 14 , b = 31 , c = 45 
i = 75 , a = 7 , b = 9 , c = 16 
i = 76 , a = 34 , b = 20 , c = 54 
i = 77 , a = 4 , b = 19 , c = 23 
i = 78 , a = 3 , b = 18 , c = 21 
i = 79 , a = 30 , b = 38 , c = 68 
i = 80 , a = 7 , b = 25 , c = 32 
i = 81 , a = 8 , b = 28 , c = 36 
i = 82 , a = 36 , b = 34 , c = 70 
i = 83 , a = 18 , b = 33 , c = 51 
i = 84 , a = 28 , b = 37 , c = 65 
i = 85 , a = 24 , b = 1 , c = 25 
i = 86 , a = 3 , b = 13 , c = 16 
i = 87 , a = 11 , b = 38 , c = 49 
i = 88 , a = 34 , b = 30 , c = 64 
i = 89 , a = 39 , b = 19 , c = 58 
i = 90 , a = 12 , b = 17 , c = 29 
i = 91 , a = 20 , b = 39 , c = 59 
i = 92 , a = 36 , b = 9 , c = 45 
i = 93 , a = 8 , b = 3 , c = 11 
i = 94 , a = 19 , b = 22 , c = 41 
i = 95 , a = 12 , b = 34 , c = 46 
i = 96 , a = 26 , b = 13 , c = 39 
i = 97 , a = 26 , b = 7 , c = 33 
i = 98 , a = 14 , b = 31 , c = 45 
i = 99 , a = 19 , b = 22 , c = 41 
i = 100 , a = 35 , b = 2 , c = 37 
